year,crime_type,sex,age_group
2019,Assault,U,Unknown
2019,Other,F,Adult
2019,Other,F,Adult
2019,Other,F,Adult
2019,Other,F,Adult
2019,Other,F,Adult
2019,Other,F,Adult
2019,Other,F,Child
2019,Other,F,Unknown
2019,Other,F,Youth
2019,Other,M,Adult
2019,Other,M,Adult
2019,Other,M,Adult
2019,Other,M,Adult
2019,Other,M,Adult
2019,Other,M,Adult
2019,Other,M,Child
2019,Other,M,Unknown
2019,Other,M,Youth
2019,Other,U,Adult
2019,Other,U,Unknown
2019,Robbery,F,Adult
2019,Robbery,F,Adult
2019,Robbery,F,Adult
2019,Robbery,F,Adult
2019,Robbery,F,Adult
2019,Robbery,F,Adult
2019,Robbery,F,Child
2019,Robbery,F,Unknown
2019,Robbery,F,Youth
2019,Robbery,M,Adult
2019,Robbery,M,Adult
2019,Robbery,M,Adult
2019,Robbery,M,Adult
2019,Robbery,M,Adult
2019,Robbery,M,Adult
2019,Robbery,M,Child
2019,Robbery,M,Unknown
2019,Robbery,M,Youth
2019,Robbery,U,Adult
2019,Robbery,U,Adult
2019,Robbery,U,Adult
2019,Robbery,U,Adult
2018,Assault,M,Adult
2018,Other,U,Unknown
2018,Robbery,F,Adult
2018,Robbery,F,Adult
2018,Robbery,F,Adult
2018,Robbery,F,Adult
2018,Robbery,F,Adult
2018,Robbery,F,Adult
2018,Robbery,F,Child
2018,Robbery,F,Unknown
2018,Robbery,F,Youth
2018,Robbery,M,Adult
2018,Robbery,M,Adult
2018,Robbery,M,Adult
2018,Robbery,M,Adult
2018,Robbery,M,Adult
2018,Robbery,M,Adult
2018,Robbery,M,Child
2018,Robbery,M,Unknown
2018,Robbery,M,Youth
2018,Robbery,U,Adult
2019,Robbery,U,Unknown
2018,Sexual Violation,F,Adult
2018,Sexual Violation,F,Adult
2018,Sexual Violation,F,Adult
2018,Sexual Violation,F,Adult
2018,Sexual Violation,F,Adult
2018,Sexual Violation,F,Adult
2018,Sexual Violation,F,Child
2018,Sexual Violation,F,Unknown
2018,Sexual Violation,F,Youth
2018,Sexual Violation,M,Adult
2018,Sexual Violation,M,Adult
2018,Sexual Violation,M,Adult
2018,Sexual Violation,M,Adult
2018,Sexual Violation,M,Adult
2018,Sexual Violation,M,Adult
2018,Sexual Violation,M,Child
2018,Sexual Violation,M,Unknown
2018,Sexual Violation,M,Youth
2018,Sexual Violation,U,Adult
2018,Sexual Violation,U,Adult
2018,Sexual Violation,U,Child
2018,Sexual Violation,U,Unknown
2019,Assault,F,Unknown
2019,Assault,M,Unknown
2019,Assault,F,Adult
2019,Assault,F,Adult
2019,Assault,F,Adult
2019,Assault,F,Adult
2019,Assault,F,Adult
2019,Assault,F,Adult
2018,Assault,M,Adult
2019,Robbery,U,Youth
2018,Assault,M,Adult
2019,Sexual Violation,F,Adult
2018,Assault,M,Adult
2019,Sexual Violation,F,Adult
2018,Assault,M,Adult
2019,Sexual Violation,F,Adult
2018,Assault,M,Unknown
2019,Sexual Violation,F,Adult
2018,Assault,F,Adult
2019,Sexual Violation,F,Adult
2018,Assault,F,Adult
2019,Sexual Violation,F,Adult
2018,Assault,F,Adult
2019,Sexual Violation,F,Child
2018,Assault,F,Adult
2019,Sexual Violation,F,Unknown
2019,Sexual Violation,F,Youth
2019,Sexual Violation,M,Adult
2019,Sexual Violation,M,Adult
2019,Sexual Violation,M,Adult
2019,Sexual Violation,M,Adult
2019,Sexual Violation,M,Adult
2019,Sexual Violation,M,Adult
2019,Sexual Violation,M,Child
2019,Sexual Violation,M,Unknown
2019,Sexual Violation,M,Youth
2019,Sexual Violation,U,Child
2019,Sexual Violation,U,Unknown
2019,Sexual Violation,U,Youth
2020,Assault,M,Adult
2020,Assault,M,Unknown
2020,Assault,F,Adult
2020,Assault,F,Adult
2020,Assault,F,Adult
2020,Assault,F,Adult
2020,Assault,F,Adult
2020,Assault,F,Unknown
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Unknown
2020,Assault,U,Unknown
2020,Assault,F,Adult
2020,Assault,F,Adult
2020,Assault,F,Unknown
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Adult
2020,Assault,M,Unknown
2020,Assault,U,Unknown
2018,Assault,F,Adult
2018,Assault,F,Adult
2018,Assault,F,Child
2018,Assault,F,Unknown
2018,Assault,F,Youth
2018,Assault,M,Adult
2018,Assault,M,Adult
2018,Assault,M,Adult
2018,Assault,M,Adult
2018,Assault,M,Adult
2018,Assault,M,Adult
2018,Assault,M,Child
2018,Assault,M,Unknown
2018,Assault,M,Youth
2018,Assault,U,Adult
2018,Assault,U,Adult
2018,Assault,U,Adult
2018,Assault,U,Unknown
2018,Other,F,Adult
2018,Other,F,Adult
2018,Other,F,Adult
2018,Other,F,Adult
2018,Other,F,Adult
2018,Other,F,Adult
2018,Other,F,Child
2018,Other,F,Unknown
2018,Other,F,Youth
2018,Other,M,Adult
2018,Other,M,Adult
2018,Other,M,Adult
2018,Other,M,Adult
2018,Other,M,Adult
2018,Other,M,Adult
2018,Other,M,Child
2018,Other,M,Unknown
2018,Other,M,Youth
2018,Other,U,Adult
2018,Other,U,Adult
2018,Other,U,Adult
2018,Other,U,Adult
2021,Assault,M,Adult
2021,Assault,M,Adult
2021,Assault,M,Adult
2021,Assault,M,Child
2021,Assault,M,Unknown
2021,Assault,M,Youth
2021,Assault,U,Adult
2021,Assault,U,Adult
2021,Assault,U,Adult
2021,Assault,U,Adult
2021,Assault,U,Adult
2021,Assault,U,Unknown
2021,Assault,U,Youth
2021,Other,F,Adult
2021,Other,F,Adult
2021,Other,F,Adult
2021,Other,F,Adult
2021,Other,F,Adult
2021,Other,F,Adult
2021,Other,F,Child
2021,Other,F,Unknown
2021,Other,F,Youth
2021,Other,M,Adult
2021,Other,M,Adult
2021,Other,M,Adult
2021,Other,M,Adult
2021,Other,M,Adult
2021,Other,M,Adult
2021,Other,M,Child
2021,Other,M,Unknown
2021,Other,M,Youth
2021,Other,U,Adult
2021,Other,U,Adult
2021,Other,U,Adult
2021,Other,U,Unknown
2021,Other,U,Youth
2021,Robbery,F,Adult
2021,Robbery,F,Adult
2021,Robbery,F,Adult
2021,Robbery,F,Adult
2021,Robbery,F,Adult
2021,Robbery,F,Adult
2021,Robbery,F,Child
2021,Robbery,F,Unknown
2021,Robbery,F,Youth
2021,Robbery,M,Adult
2021,Robbery,M,Adult
2021,Robbery,M,Adult
2021,Robbery,M,Adult
2021,Robbery,M,Adult
2021,Robbery,M,Adult
2021,Robbery,M,Child
2022,Assault,F,Adult
2020,Other,M,Adult
2022,Assault,F,Unknown
2020,Other,M,Adult
2022,Assault,M,Adult
2020,Other,M,Adult
2022,Assault,M,Adult
2020,Other,M,Adult
2022,Assault,M,Adult
2020,Other,M,Adult
2022,Assault,M,Adult
2020,Other,M,Child
2022,Assault,M,Adult
2020,Other,M,Unknown
2022,Assault,M,Adult
2020,Other,M,Youth
2022,Assault,M,Unknown
2020,Other,U,Adult
2022,Assault,F,Adult
2020,Other,U,Adult
2022,Assault,F,Adult
2020,Other,U,Adult
2022,Assault,F,Adult
2020,Other,U,Child
2022,Assault,F,Adult
2020,Other,U,Unknown
2022,Assault,F,Adult
2020,Other,U,Youth
2022,Assault,F,Adult
2020,Robbery,F,Adult
2022,Assault,F,Child
2020,Robbery,F,Adult
2022,Assault,F,Unknown
2020,Robbery,F,Adult
2022,Assault,F,Youth
2020,Robbery,F,Adult
2022,Assault,M,Adult
2020,Robbery,F,Adult
2022,Assault,M,Adult
2020,Robbery,F,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Child
2022,Assault,M,Unknown
2022,Assault,M,Youth
2022,Assault,U,Adult
2022,Assault,U,Adult
2022,Assault,U,Adult
2022,Assault,U,Adult
2022,Assault,U,Adult
2022,Assault,U,Adult
2022,Assault,U,Unknown
2022,Assault,U,Youth
2022,Other,F,Adult
2022,Other,F,Adult
2022,Other,F,Adult
2022,Other,F,Adult
2022,Other,F,Adult
2022,Other,F,Adult
2022,Other,F,Child
2022,Other,F,Unknown
2022,Other,F,Youth
2022,Other,M,Adult
2022,Other,M,Adult
2022,Other,M,Adult
2022,Other,M,Adult
2022,Other,M,Adult
2022,Other,M,Adult
2022,Other,M,Child
2022,Other,M,Unknown
2020,Robbery,F,Child
2020,Robbery,F,Unknown
2020,Robbery,F,Youth
2020,Robbery,M,Adult
2020,Robbery,M,Adult
2020,Robbery,M,Adult
2020,Robbery,M,Adult
2020,Robbery,M,Adult
2020,Robbery,M,Adult
2020,Robbery,M,Child
2020,Robbery,M,Unknown
2020,Robbery,M,Youth
2020,Sexual Violation,F,Adult
2020,Sexual Violation,F,Adult
2020,Sexual Violation,F,Adult
2020,Sexual Violation,F,Adult
2020,Sexual Violation,F,Adult
2020,Sexual Violation,F,Adult
2020,Sexual Violation,F,Child
2020,Sexual Violation,F,Unknown
2020,Sexual Violation,F,Youth
2020,Sexual Violation,M,Adult
2020,Sexual Violation,M,Adult
2020,Sexual Violation,M,Adult
2020,Sexual Violation,M,Adult
2020,Sexual Violation,M,Adult
2020,Sexual Violation,M,Adult
2020,Sexual Violation,M,Child
2020,Sexual Violation,M,Unknown
2020,Sexual Violation,M,Youth
2020,Sexual Violation,U,Adult
2020,Sexual Violation,U,Unknown
2021,Robbery,M,Unknown
2021,Robbery,M,Youth
2021,Robbery,U,Adult
2021,Sexual Violation,F,Adult
2021,Sexual Violation,F,Adult
2021,Sexual Violation,F,Adult
2021,Sexual Violation,F,Adult
2021,Sexual Violation,F,Adult
2021,Sexual Violation,F,Adult
2021,Sexual Violation,F,Child
2021,Sexual Violation,F,Unknown
2021,Sexual Violation,F,Youth
2021,Sexual Violation,M,Adult
2021,Sexual Violation,M,Adult
2021,Sexual Violation,M,Adult
2021,Sexual Violation,M,Adult
2021,Sexual Violation,M,Adult
2021,Sexual Violation,M,Adult
2021,Sexual Violation,M,Child
2021,Sexual Violation,M,Unknown
2021,Sexual Violation,M,Youth
2021,Sexual Violation,U,Adult
2021,Sexual Violation,U,Child
2021,Sexual Violation,U,Unknown
2022,Assault,M,Adult
2022,Assault,M,Unknown
2022,Assault,F,Adult
2022,Assault,F,Adult
2022,Assault,F,Adult
2022,Assault,F,Adult
2022,Assault,F,Adult
2022,Assault,F,Unknown
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Unknown
2022,Assault,U,Unknown
2022,Assault,F,Adult
2022,Assault,F,Adult
2022,Assault,F,Unknown
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Adult
2022,Assault,M,Unknown
2022,Assault,U,Unknown
2022,Assault,F,Adult
2022,Assault,F,Adult
2022,Assault,F,Adult
2021,Assault,M,Unknown
2021,Assault,F,Adult
2021,Assault,F,Adult
2021,Assault,F,Adult
2021,Assault,F,Adult
2021,Assault,F,Adult
2021,Assault,F,Adult
2021,Assault,F,Unknown
2021,Assault,M,Adult
2021,Assault,M,Adult
2021,Assault,M,Adult
2021,Assault,M,Adult
